district_num,alloc_B01003_001E,alloc_B03002_001E,alloc_B03002_003E,alloc_B03002_004E,alloc_B03002_012E,alloc_B15003_001E,alloc_B15003_022E,alloc_B15003_023E,alloc_B15003_024E,alloc_B15003_025E,alloc_B25003_001E,alloc_B25003_002E,alloc_pop_weight,alloc_income_wt,alloc_age_wt,total_pop,white_pct,black_pct,hispanic_pct,college_pct,owner_occ_pct,median_income,median_age,district_land_area_sqmi,pop_density
15,125585.135154,125585.135154,91283.471603,7851.538156,16402.032334,90276.566081,15653.666318,6525.755258,1212.002845,882.094659,53708.842655,37269.825345,125585.135154,9795849898.055765,5396588.610491,125585.135154,0.726865,0.062520,0.130605,0.268880,0.693923,78001.667045,42.971556,51.886650,2420.374695
16,124364.955824,124364.955824,100575.470183,5936.118453,8887.546662,89847.530493,25611.829278,12984.877151,4650.373676,1421.663650,54257.429613,38471.120842,124364.955824,12261007486.353600,5460657.854709,124364.955824,0.808712,0.047731,0.071463,0.497162,0.709048,98588.926480,43.908333,817.372471,152.152122
17,123587.744113,123587.744113,105058.074260,3865.045115,4287.007336,89287.752378,24372.269501,12192.525401,2176.280090,1202.737483,52070.903124,40575.357756,123587.744113,12229372201.399975,5522398.192149,123587.744113,0.850069,0.031274,0.034688,0.447360,0.779233,98952.952731,44.684028,69.273992,1784.042477
18,124223.819767,124223.819767,41709.956497,70228.671316,2888.000000,86590.868410,18165.636320,12689.775444,5375.000000,3583.000000,55854.091649,30430.070926,124223.819767,9307370744.735020,5089674.422613,124223.819767,0.335765,0.565340,0.023248,0.459788,0.544814,74924.203444,40.971807,32.099096,3870.009865
19,120969.522790,120969.522790,90983.563992,10911.910115,4897.436609,89451.100216,23175.583267,13576.078759,5121.353592,2722.784506,50936.630600,40023.695210,120969.522790,13889796262.228151,5623841.507550,120969.522790,0.752120,0.090204,0.040485,0.498549,0.785755,114820.625410,46.489739,117.158832,1032.525848
20,125749.793945,125749.793945,27627.851522,80399.003630,6573.155711,82506.269527,9575.646323,4550.109046,2638.268778,921.536893,57241.298702,17244.581493,125749.793945,4038134670.355651,4405869.904233,125749.793945,0.219705,0.639357,0.052272,0.214354,0.301261,32112.455565,35.036796,35.793977,3513.155154
21,124763.994736,124763.994736,55313.534791,58805.299733,2890.694413,87273.864909,18026.290491,10242.112463,3454.144197,1787.585492,55539.036410,31790.456707,124763.994736,8656590359.554972,5147484.465541,124763.994736,0.443345,0.471332,0.023169,0.383965,0.572398,69383.722266,41.257772,30.426869,4100.454563
22,122342.977141,122342.977141,25159.565101,86101.458301,4441.772970,85419.887753,9462.876346,4517.703998,642.842990,434.069324,54932.830382,28688.905843,122342.977141,5405665588.906472,4967420.131593,122342.977141,0.205648,0.703771,0.036306,0.176276,0.522254,44184.518925,40.602413,29.683126,4121.633884
23,123104.896066,123104.896066,98613.459008,13802.467572,3480.158060,91518.972375,19334.104749,7947.228603,1324.820637,1007.218956,56808.815380,39240.289675,123104.896066,9595772681.553635,5584420.786474,123104.896066,0.801052,0.112120,0.028270,0.323576,0.690743,77947.936989,45.363109,385.429929,319.396307
24,120301.879230,120301.879230,51808.240127,51044.775126,7550.701096,75627.708770,14842.237943,6359.282960,1866.072878,873.386692,53727.769576,16847.057674,120301.879230,6061926395.775183,3911298.558107,120301.879230,0.430652,0.424306,0.062765,0.316564,0.313563,50389.290962,32.512365,25.718999,4677.549060
