district,statewide_d_pct,win_prob,sigma_i,sigma_source,incumbency_shift
39,41.5,0.0272,0.04047903264826666,shrunk_2pt,0.0
72,41.5,0.0366,0.04831661441098122,shrunk_2pt,0.0
32,41.5,0.0164,0.0408933423742721,shrunk_2pt,0.0
44,41.5,0.0241,0.046243258224299005,prior_only,0.0
75,41.5,0.0079,0.03869207221304435,shrunk_2pt,0.0
37,41.5,0.0126,0.046243258224299005,prior_only,0.0
29,41.5,0.0099,0.046243258224299005,prior_only,0.0
89,41.5,0.0018,0.040486447600887855,shrunk_2pt,0.0
73,41.5,0.0022,0.046243258224299005,prior_only,0.0
68,41.5,0.0019,0.046243258224299005,prior_only,0.0
57,41.5,0.0002,0.0386898982492774,shrunk_2pt,0.0
59,41.5,0.0011,0.046243258224299005,prior_only,0.0
70,41.5,0.0001,0.0390067544937981,shrunk_2pt,0.0
65,41.5,0.0006,0.046243258224299005,prior_only,0.0
56,41.5,0.0001,0.03954543516689933,shrunk_2pt,0.0
74,41.5,0.0001,0.03885677339974896,shrunk_2pt,0.0
45,41.5,0.0001,0.039497491958850224,shrunk_2pt,0.0
61,41.5,0.0001,0.040505534023629886,shrunk_2pt,0.0
54,41.5,0.0002,0.042460330670396784,shrunk_2pt,0.0
66,41.5,0.0,0.03881097456312374,shrunk_2pt,0.0
99,41.5,0.0001,0.041880751839472014,shrunk_2pt,0.0
47,41.5,0.0001,0.04075872356366718,shrunk_2pt,0.0
50,41.5,0.0004,0.046243258224299005,prior_only,0.0
48,41.5,0.0,0.03870392324480088,shrunk_2pt,0.0
95,41.5,0.0004,0.04844025308913485,shrunk_2pt,0.0
46,41.5,0.0,0.03869169947985534,shrunk_2pt,0.0
88,41.5,0.0,0.026258343170883415,shrunk_4pt,0.0
62,41.5,0.0,0.038787270068147854,shrunk_2pt,0.0
86,41.5,0.0,0.02042796468887392,shrunk_4pt,0.0
94,41.5,0.0001,0.052099588641748774,shrunk_2pt,0.0
67,41.5,0.0,0.046243258224299005,prior_only,0.0
92,41.5,0.0,0.046243258224299005,prior_only,0.0
96,41.5,0.0,0.040050704265211595,shrunk_2pt,0.0
77,41.5,0.0,0.03869087436772964,shrunk_2pt,0.0
51,41.5,0.0,0.046243258224299005,prior_only,0.0
76,41.5,0.0,0.046243258224299005,prior_only,0.0
71,41.5,0.0,0.038781463130462705,shrunk_2pt,0.0
30,41.5,0.0,0.02806587660059381,shrunk_3pt,0.0
97,41.5,0.0,0.039069238137432856,shrunk_2pt,0.0
12,41.5,0.0,0.046243258224299005,prior_only,0.0
79,41.5,0.0,0.038729145337064154,shrunk_2pt,0.0
81,41.5,0.0,0.046243258224299005,prior_only,0.0
55,41.5,0.0,0.03971511677106638,shrunk_2pt,0.0
83,41.5,0.0,0.03613161278105033,shrunk_3pt,0.0
90,41.5,0.0003,0.07715327858788477,shrunk_3pt,0.0
78,41.5,0.0,0.046243258224299005,prior_only,0.0
98,41.5,0.0,0.046243258224299005,prior_only,0.0
69,41.5,0.0,0.0411616812319351,shrunk_2pt,0.0
93,41.5,0.0,0.046243258224299005,prior_only,0.0
63,41.5,0.0,0.03880601126809399,shrunk_2pt,0.0
80,41.5,0.0,0.02661148274072227,shrunk_3pt,0.0
40,41.5,0.0,0.044010025410574784,shrunk_2pt,0.0
87,41.5,0.0,0.030851601588244317,shrunk_3pt,0.0
91,41.5,0.0,0.046243258224299005,prior_only,0.0
